Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
APLM,Apollomics Inc. - Class A Ordinary Shares,-2,7,-17,-27,115
APM,Aptorum Group Limited - Class A Ordinary Shares,2,-5,-35,-21,-4
APOG,"Apogee Enterprises, Inc. - Common Stock",2,-3,4,-2,-7
APP,Applovin Corporation - Class A Common Stock,-1,5,-14,-22,26
APPF,"AppFolio, Inc. - Class A Common Stock",2,-3,-27,-28,-23
APPN,Appian Corporation - Class A Common Stock,1,-3,-48,-37,-32
APPS,"Digital Turbine, Inc. - Common Stock",2,27,-1,-5,0
APVO,Aptevo Therapeutics Inc. - Common Stock,-2,1,-77,-47,-94
APXT,Apex Treasury Corporation - Class A Ordinary Share,0,0,1,1,1
APYX,Apyx Medical Corporation - Common Stock,-3,10,7,18,135
AQB,"AquaBounty Technologies, Inc. - Common Stock",4,3,10,4,13
AQMS,"Aqua Metals, Inc. - Common Stock",0,-14,-44,-26,-56
AQST,"Aquestive Therapeutics, Inc. - Common Stock",-3,0,-29,-36,62
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",-3,2108,35,-1,-43
ASLE,AerSale Corporation - Common Stock,1,-9,-2,-14,3
ASMB,"Assembly Biosciences, Inc. - Common Stock",7,3,-25,-16,101
ASML,ASML Holding N.V. - New York Registry Shares,3,14,66,41,117
ASND,Ascendis Pharma A/S - Ordinary Share,0,9,18,16,57
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",3,-7,17,1,30
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,-3,1,6,-48,10
ASPI,ASP Isotopes Inc. - Common Stock,7,-2,-10,-1,-30
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,1,-4,-34,-13,-5
ASPSZ,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants,0,0,-25,-25,-25
ASST,"Strive, Inc. - Class A Common Stock",-2,16,-19,5,-89
ASTC,Astrotech Corporation - Common Stock,-5,-34,-20,-38,-61
ASTE,"Astec Industries, Inc. - Common Stock",0,-17,15,9,23
ASTH,Astrana Health Inc. - Common Stock,1,11,67,50,52
ASTI,"Ascent Solar Technologies, Inc - Common Stock",13,11,257,32,237
ASTL,Algoma Steel Group Inc. - Common Shares,0,1,37,21,-14
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",10,37,92,27,326
ASYS,"Amtech Systems, Inc. - Common Stock",5,25,200,71,432
ATAI,AtaiBeckley Inc. - Common Stock,0,0,13,12,95
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares,-5,-8,-10,-15,12
ATCX,Atlas Critical Minerals Corporation - Common Stock,2,-13,-50,-50,-50
ATEC,"Alphatec Holdings, Inc. - Common Stock",0,-20,-60,-60,-33
ATEX,Anterix Inc. - Common Stock,6,35,216,186,130
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares,0,6,-31,-27,-45
ATHE,Alterity Therapeutics Limited - American Depositary Shares,-1,-10,17,31,-3
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,2,7,9,10,13
ATLC,Atlanticus Holdings Corporation - Common Stock,2,5,50,25,70
ATLCL,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026,0,0,4,5,10
ATLCP,"Atlanticus Holdings Corporation - 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",0,4,4,2,13
ATLCZ,Atlanticus Holdings Corporation - 9.25% Senior Notes due 2029,0,1,5,3,12
ATLN,Atlantic International Corp. - Common Stock,5,-11,-37,-30,-39
ATLO,Ames National Corporation - Common Stock,0,3,37,28,69
ATLX,Atlas Lithium Corporation - Common Stock,-5,-12,-9,-4,3
ATNI,"ATN International, Inc. - Common Stock",1,-3,37,25,98
ATOM,Atomera Incorporated - Common Stock,9,21,324,292,32
ATOS,"Atossa Therapeutics, Inc. - Common Stock",0,-9,-56,-48,-61
ATPC,Agape ATP Corporation - Common Stock,-23,39,-96,-47,-97
ATXG,Addentax Group Corp. - Common Stock,0,-23,-32,-24,-57
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,-4,9,-19,-9,34
AVAV,"AeroVironment, Inc. - Common Stock",7,-11,-37,-32,-2
AVBH,"Avidbank Holdings, Inc. - Common Stock",0,-2,21,14,46
AVBP,"ArriVent BioPharma, Inc. - Common Stock",-1,-12,24,29,30
AVGO,Broadcom Inc. - Common Stock,0,-1,10,19,77
AVLN,Avalyn Pharma Inc. - common stock,2,-2,-2,-2,-2
AVO,"Mission Produce, Inc. - Common Stock",0,-16,4,3,14
AVPT,"AvePoint, Inc. - Class A Common Stock",0,4,-18,-22,-45
AVT,"Avnet, Inc. - Common Stock",3,9,88,75,73
AVTX,"Avalo Therapeutics, Inc. - Common Stock",-2,13,-9,-4,352
AVX,Avax One Technology Ltd. - Common Shares,-2,9,-70,-65,-96
AVXL,Anavex Life Sciences Corp. - Common Stock,-1,-18,-12,-27,-63
AXG,Solowin Holdings - Class A Ordinary Share,-2,-15,-1,-13,134
AXGN,"Axogen, Inc. - Common Stock",-1,4,44,32,262
AXIN,Axiom Intelligence Acquisition Corp 1 - Class A Ordinary Shares,0,0,1,1,3
AXON,"Axon Enterprise, Inc. - Common Stock",-1,-4,-26,-31,-48
AXSM,"Axsome Therapeutics, Inc. - Common Stock",1,26,56,32,127
AXTI,AXT Inc - Common Stock,16,101,1408,740,9045
AYA,Aya Gold & Silver Inc. - Common Shares,2,1,69,24,106
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,4,-14,14,-7,-33
AZI,Autozi Internet Technology (Global) Ltd. - Class A Ordinary Shares,-1,-9,-96,-95,-100
AZTA,"Azenta, Inc. - Common Stock",3,-20,-45,-40,-27
BACC,Blue Acquisition Corp. - Class A Ordinary Shares,0,1,0,1,4
BAFN,BayFirst Financial Corp. - Common Stock,3,-21,-20,-19,-57
BAND,Bandwidth Inc. - Class A Common Stock,5,155,341,332,323
BANF,BancFirst Corporation - Common Stock,0,-3,1,5,-10
BANFP,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,0,0,4,2,11
BANL,CBL International Limited - Class B Ordinary Shares,2,-13,-4,-5,-52
BANX,ArrowMark Financial Corp. - Closed End Fund,1,2,-1,-7,11
BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,4,5,17,5,14
BAYA,Bayview Acquisition Corp - Ordinary Share,0,1,8,1,10
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",2,-2,24,10,4
BBCQ,Bleichroeder Acquisition Corp. II - Class A Ordinary Shares,1,4,8,8,8
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",3,-33,279,194,211
BBIO,"BridgeBio Pharma, Inc. - Common Stock",-2,-7,-3,-12,109
